0.206,0.494
0.173,0.493
0.197,0.470
0.812,0.190
0.800,0.619
0.710,0.515
0.313,0.494
0.789,0.643
0.176,0.463
0.709,0.585
0.789,0.165
0.679,0.209
0.176,0.434
0.716,0.698
0.774,0.234
0.854,0.185
0.314,0.492
0.281,0.438
0.725,0.198
0.603,0.693
0.908,0.135
0.046,0.757
0.710,0.511
0.089,0.707
0.763,0.096
0.725,0.649
0.223,0.499
0.764,0.156
0.857,0.241
0.803,0.219
0.271,0.478
0.016,0.834
0.721,0.580
0.282,0.595
0.810,0.099
0.637,0.713
0.739,0.268
0.667,0.175
0.726,0.217
0.849,0.618
0.711,0.628
0.705,0.184
0.191,0.531
0.237,0.540
0.695,0.669
0.188,0.488
0.738,0.527
0.752,0.686
0.725,0.670
0.723,0.194
0.076,0.808
0.244,0.463
0.671,0.207
0.733,0.197
0.747,0.724
0.018,0.842
0.005,0.821
0.782,0.314
0.740,0.583
0.071,0.738
0.750,0.286
0.587,0.248
0.705,0.189
0.210,0.479
0.740,0.773
0.841,0.092
0.244,0.514
0.746,0.647
0.748,0.139
0.674,0.647
0.061,0.780
0.889,0.597
0.723,0.247
0.154,0.563
0.113,0.735
0.762,0.168
0.760,0.565
0.213,0.460
0.118,0.556
0.264,0.562
0.687,0.708
0.755,0.261
0.307,0.525
0.782,0.209
0.860,0.624
0.069,0.884
0.718,0.349
0.772,0.175
0.776,0.701
0.700,0.630
0.876,0.572
0.747,0.157
0.256,0.533
0.734,0.669
0.153,0.488
0.610,0.151
0.649,0.236
0.808,0.559
0.746,0.127
0.686,0.225
0.160,0.547
0.141,0.514
0.004,0.767
0.156,0.734
0.086,0.817
0.761,0.676
0.222,0.458
0.234,0.482
0.685,0.202
0.024,0.803
0.623,0.220
0.773,0.673
0.042,0.672
0.669,0.619
0.783,0.689
0.014,0.763
0.198,0.555
0.082,0.780
0.810,0.687
0.764,0.520
0.291,0.482
0.768,0.607
0.044,0.747
0.296,0.423
0.774,0.608
0.187,0.524
0.682,0.644
0.057,0.746
0.866,0.634
0.075,0.712
0.014,0.845
0.041,0.782
0.221,0.541
0.775,0.696
0.874,0.243
0.692,0.650
0.685,0.727
0.657,0.086
0.340,0.514
0.863,0.618
0.056,0.639
0.676,0.544
0.289,0.537
0.198,0.501
0.175,0.734
0.800,0.252
0.684,0.179
0.239,0.432
0.756,0.647
0.009,0.716
0.100,0.550
0.059,0.779
0.221,0.469
0.019,0.772
0.096,0.786
0.707,0.164
0.851,0.633
0.710,0.604
0.030,0.899
0.819,0.181
0.073,0.726
0.722,0.273
0.030,0.746
0.204,0.445
0.224,0.552
0.765,0.708
0.749,0.650
0.001,0.793
0.731,0.663
0.755,0.689
0.048,0.651
0.077,0.778
0.753,0.141
0.016,0.750
0.024,0.851
0.066,0.728
0.006,0.768
0.733,0.197
0.291,0.546
0.775,0.190
0.072,0.747
0.283,0.466
0.763,0.106
0.778,0.179
0.805,0.170
0.744,0.219
0.639,0.679
0.740,0.150
0.793,0.206
0.011,0.741
0.297,0.483
0.696,0.206
0.239,0.451
0.719,0.131
0.830,0.696
0.817,0.188
0.751,0.269
0.769,0.679
0.199,0.569
0.707,0.571
0.741,0.213
0.720,0.584
0.708,0.547
0.092,0.728
0.792,0.561
0.697,0.581
0.165,0.486
0.102,0.887
0.730,0.731
0.719,0.510
0.026,0.630
0.054,0.800
0.779,0.172
0.784,0.192
0.707,0.666
0.328,0.477
0.262,0.604
0.875,0.094
0.703,0.727
0.869,0.174
0.009,0.732
0.721,0.637
0.622,0.651
0.841,0.171
0.780,0.296
0.751,0.272
0.688,0.535
0.255,0.420
0.707,0.593
0.699,0.189
0.820,0.598
0.871,0.272
0.105,0.711
0.042,0.714
0.018,0.740
0.748,0.174
0.780,0.661
0.175,0.484
0.079,0.800
0.036,0.769
0.265,0.540
0.763,0.149
0.686,0.619
0.712,0.658
0.755,0.241
0.744,0.607
0.021,0.812
0.690,0.161
0.020,0.779
0.873,0.246
0.688,0.294
0.775,0.657
0.179,0.440
0.007,0.795
0.110,0.804
0.698,0.601
0.065,0.779
0.247,0.439
